date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
03-12-2014,0,768,2619290,0.507566,26153,18718.71172,63.89624184
04-12-2014,0,633,2533220,0.456468,18052,18491.46266,49.04053438
05-12-2014,0,724,2273710,0.428893,45855,18495.89539,57.94684431
06-12-2014,0,632,2143880,0.443703,18704,18719.28997,50.21343238
07-12-2014,0,629,2232200,0.470556,21888,18834.44874,43.88176116
08-12-2014,0,561,2377730,0.448344,36453,18270.47242,41.60091789
09-12-2014,0,653,2267930,0.389608,28887,18216.00517,52.81588551
10-12-2014,0,627,1978920,0.389659,18125,18184.82044,46.87277571
11-12-2014,0,624,1959700,0.398488,22967,16403.66081,46.52362039
12-12-2014,0,652,1992170,0.375733,16404,18311.74421,47.22278996
13-12-2014,0,640,1899730,0.375961,17428,18601.98177,47.76337412
14-12-2014,0,564,1898350,0.383506,13827,18035.80446,40.1123789
15-12-2014,0,498,1956960,0.382897,23998,18345.47793,37.31484338
16-12-2014,0,618,1938870,0.337857,41022,17897.64137,47.65653769
17-12-2014,0,537,1755550,0.338319,33392,18147.6743,43.68028303
18-12-2014,0,720,1710790,0.316383,17760,17626.63669,65.55575252
19-12-2014,0,659,1599440,0.319859,16495,17965.63502,51.36502197
20-12-2014,0,933,1684180,0.339099,12708,18153.7448,93.37787691
21-12-2014,0,1314,1791620,0.343806,24432,17348.22847,158.6853677
22-12-2014,0,592,1823950,0.344799,19493,18145.57445,44.50869049
23-12-2014,0,798,1836840,0.381093,25039,17692.5744,64.2483273
24-12-2014,0,689,2046480,0.425367,64963,18420.5466,52.50315451
25-12-2014,0,762,2265570,0.452427,53937,17274.43008,57.66864551
26-12-2014,0,715,2451960,0.4337,35090,18065.44589,55.55896043
27-12-2014,0,665,2330360,0.510573,98086,17569.72794,54.09904655
28-12-2014,0,685,2757730,0.563872,117333,18266.62296,52.20238822
29-12-2014,0,834,3065720,0.487799,72362,18029.46733,60.13490005
30-12-2014,0,705,2670650,0.489046,57426,17457.05918,50.31074469
31-12-2014,0,836,2659040,0.43466,37598,17892.33762,66.29071683
01-01-2015,0,510,2391490,0.46576,25000,17600.8454,38.80214762
02-01-2015,0,359,2602560,0.459137,34884,16984.40745,34.14775573
03-01-2015,0,462,2525370,0.461172,42366,17517.75319,33.41558041
04-01-2015,0,580,2582190,0.417234,29438,17274.11873,44.99275135
05-01-2015,0,544,2283900,0.421412,35008,18001.12778,38.94630975
06-01-2015,0,770,2348070,0.461609,34747,17327.08058,71.05152118
07-01-2015,0,675,2578210,0.463607,21150,16047.34074,49.26313425
08-01-2015,0,701,2645040,0.429175,18235,17638.98763,53.813486
09-01-2015,0,661,2407840,0.431801,15357,17412.87405,54.28077878
10-01-2015,0,496,2400600,0.419216,23213,17343.56997,39.82417323
11-01-2015,0,604,2369310,0.378748,12932,17908.13905,51.07389661
12-01-2015,0,647,2149210,0.364316,12038,17157.90992,47.13073156
13-01-2015,0,486,2069830,0.309479,15632,17357.3445,36.54301555
14-01-2015,0,752,1714500,0.223522,20845,17404.90564,61.02585069
15-01-2015,0,681,1260140,0.261714,14019,17304.34732,54.92905578
16-01-2015,0,641,1496130,0.278449,14483,17758.78766,48.17327186
17-01-2015,0,602,1624370,0.248057,12834,17262.41934,43.25775902
18-01-2015,0,574,1436750,0.258656,11861,16848.30078,47.9621829
19-01-2015,0,425,1481490,0.254181,17060,17373.23735,31.22323231
20-01-2015,0,893,1474700,0.236223,8074,17431.22114,67.38582555
21-01-2015,0,631,1402630,0.261268,10021,16950.65209,44.58902997
22-01-2015,0,689,1528690,0.273442,15643,17367.39468,53.20601947
23-01-2015,0,731,1606240,0.283141,12269,16859.64437,61.56140459
24-01-2015,0,473,1646270,0.298369,16130,17231.81825,31.59011033
25-01-2015,0,323,1752130,0.310227,24533,17326.46056,26.12595688
26-01-2015,0,359,1867840,0.317078,29144,17291.65455,32.56460436
27-01-2015,0,979,1877370,0.320371,17844,16919.97307,86.07040413
28-01-2015,0,546,1897440,0.290979,16093,16655.65933,47.62626825
29-01-2015,0,630,1731140,0.309911,27625,17649.95886,48.71413828
30-01-2015,0,683,1831440,0.294018,21911,16698.08246,46.78285029
31-01-2015,0,531,1764140,0.284363,10211,17432.65448,38.78787756
01-02-2015,0,619,1706270,0.299954,17051,16461.03661,41.12384423
02-02-2015,0,606,1814850,0.301242,16725,17103.30887,42.76583775
03-02-2015,0,606,1820860,0.288734,11397,17124.9694,45.0145247
04-02-2015,0,662,1753690,0.289486,19736,16754.91522,48.53801062
05-02-2015,0,576,1761170,0.272273,13746,16669.59414,37.26581949
06-02-2015,0,699,1661450,0.270772,14473,17053.54778,54.0220618
07-02-2015,0,540,1656860,0.275702,12075,16704.77694,36.42321906
08-02-2015,0,763,1689980,0.265034,11615,17516.35294,72.70269593
09-02-2015,0,507,1591870,0.251738,12603,16528.20608,35.88545469
10-02-2015,0,598,1559910,0.244719,14973,16492.47178,44.62037149
11-02-2015,0,433,1512250,0.231497,23085,16904.02225,32.48425775
12-02-2015,0,633,1456630,0.246741,25486,16776.46097,43.68457634
13-02-2015,0,560,1554650,0.255641,12966,16715.97323,42.02589841
14-02-2015,0,612,1591440,0.280322,19546,16434.97778,48.52864071
15-02-2015,0,546,1749650,0.25138,13141,16833.33861,37.08403409
16-02-2015,0,603,1583380,0.251039,8801,17020.49876,43.76980266
17-02-2015,0,459,1577450,0.253231,16775,15643.51133,30.40616548
18-02-2015,0,551,1598190,0.248507,33558,16954.55456,33.97575715
19-02-2015,0,678,1573510,0.282791,35329,16674.36499,46.08773001
20-02-2015,0,554,1803180,0.305673,23536,16662.68905,35.58087318
21-02-2015,0,600,1939520,0.302557,14275,16434.01581,46.63459026
22-02-2015,0,513,1927720,0.313139,28371,16469.94274,37.8815705
23-02-2015,0,489,2005950,0.337887,82507,16664.98468,30.30688565
24-02-2015,0,881,2463620,0.340267,77991,16920.45963,67.60877884
25-02-2015,0,789,2150140,0.365243,33340,16313.99686,59.29503892
26-02-2015,0,555,2350210,0.357721,31163,16020.03943,39.06651499
27-02-2015,0,710,2305920,0.381008,36994,16463.67532,52.59749741
28-02-2015,0,530,2492860,0.427227,68062,16128.57879,35.89448861
01-03-2015,0,846,2769930,0.426028,23255,16532.3111,72.83452889
02-03-2015,0,764,2766530,0.428434,67915,16386.53421,53.46615628
03-03-2015,0,701,2792970,0.415078,23029,16218.55704,52.31909975
04-03-2015,0,830,2713080,0.413151,21345,16510.73563,79.75432768
05-03-2015,0,688,2705880,0.469626,45238,16056.74542,53.90407143
06-03-2015,0,650,3100550,0.486039,77668,15524.76563,50.14902495
07-03-2015,0,648,3198930,0.457321,25259,17071.95698,52.64410769
08-03-2015,0,529,3071180,0.484062,39107,16325.68082,44.05103104
09-03-2015,0,524,3236970,0.63489,110877,15782.56983,38.44249316
10-03-2015,0,644,4296870,0.791843,182299,16109.95319,49.00572637
11-03-2015,0,1130,5263560,0.715782,95830,16201.28259,92.45305301
